Report_Year,Year,Item,Vehicle_Type,Data
2023,2023,Interstate_Rural_VMT,Light Duty Vehicles Short Wheelbase,141501777298
2023,2023,Interstate_Rural_VMT,Motorcycles,1014337971
2023,2023,Interstate_Rural_VMT,Buses,1575968563
2023,2023,Interstate_Rural_VMT,Light Duty Vehicles Long Wheelbase,53227623388
2023,2023,Interstate_Rural_VMT,Single Unit Trucks,11956558064
2023,2023,Interstate_Rural_VMT,Combination Trucks,59441029396
2023,2023,Interstate_Rural_VMT,All Light Duty Vehicles,194729400686
2023,2023,Interstate_Rural_VMT,Single Unit and Combination Trucks,71397587459
2023,2022,Interstate_Rural_VMT,Light Duty Vehicles Short Wheelbase,148757069100
2023,2022,Interstate_Rural_VMT,Motorcycles,1163708185
2023,2022,Interstate_Rural_VMT,Buses,1601066542
2023,2022,Interstate_Rural_VMT,Light Duty Vehicles Long Wheelbase,50142686755
2023,2022,Interstate_Rural_VMT,Single Unit Trucks,11676658205
2023,2022,Interstate_Rural_VMT,Combination Trucks,61651784433
2023,2022,Interstate_Rural_VMT,All Light Duty Vehicles,198899755855
2023,2022,Interstate_Rural_VMT,Single Unit and Combination Trucks,73328442638
2023,2023,Other_Arterial_Rural_VMT,Light Duty Vehicles Short Wheelbase,232914922732
2023,2023,Other_Arterial_Rural_VMT,Motorcycles,2257684553
2023,2023,Other_Arterial_Rural_VMT,Buses,2327394086
2023,2023,Other_Arterial_Rural_VMT,Light Duty Vehicles Long Wheelbase,104131238447
2023,2023,Other_Arterial_Rural_VMT,Single Unit Trucks,19889849387
2023,2023,Other_Arterial_Rural_VMT,Combination Trucks,33536163556
2023,2023,Other_Arterial_Rural_VMT,All Light Duty Vehicles,337046161179
2023,2023,Other_Arterial_Rural_VMT,Single Unit and Combination Trucks,53426012943
2023,2022,Other_Arterial_Rural_VMT,Light Duty Vehicles Short Wheelbase,229876839977
2023,2022,Other_Arterial_Rural_VMT,Motorcycles,2233247251
2023,2022,Other_Arterial_Rural_VMT,Buses,2230721507
2023,2022,Other_Arterial_Rural_VMT,Light Duty Vehicles Long Wheelbase,99865022729
2023,2022,Other_Arterial_Rural_VMT,Single Unit Trucks,19331706718
2023,2022,Other_Arterial_Rural_VMT,Combination Trucks,33363892658
2023,2022,Other_Arterial_Rural_VMT,All Light Duty Vehicles,329741862706
2023,2022,Other_Arterial_Rural_VMT,Single Unit and Combination Trucks,52695599376
2023,2023,Other_Rural_VMT,Light Duty Vehicles Short Wheelbase,209061281534
2023,2023,Other_Rural_VMT,Motorcycles,2757152552
2023,2023,Other_Rural_VMT,Buses,2143659067
2023,2023,Other_Rural_VMT,Light Duty Vehicles Long Wheelbase,98503085982
2023,2023,Other_Rural_VMT,Single Unit Trucks,18432485391
2023,2023,Other_Rural_VMT,Combination Trucks,13888115794
2023,2023,Other_Rural_VMT,All Light Duty Vehicles,307564367515
2023,2023,Other_Rural_VMT,Single Unit and Combination Trucks,32320601185
2023,2022,Other_Rural_VMT,Light Duty Vehicles Short Wheelbase,221525593484
2023,2022,Other_Rural_VMT,Motorcycles,3294357222
2023,2022,Other_Rural_VMT,Buses,2293304009
2023,2022,Other_Rural_VMT,Light Duty Vehicles Long Wheelbase,103706506294
2023,2022,Other_Rural_VMT,Single Unit Trucks,19890209103
2023,2022,Other_Rural_VMT,Combination Trucks,13106383799
2023,2022,Other_Rural_VMT,All Light Duty Vehicles,325232099778
2023,2022,Other_Rural_VMT,Single Unit and Combination Trucks,32996592902
2023,2023,All_Rural_VMT,Light Duty Vehicles Short Wheelbase,583477981563
2023,2023,All_Rural_VMT,Motorcycles,6029175076
2023,2023,All_Rural_VMT,Buses,6047021716
2023,2023,All_Rural_VMT,Light Duty Vehicles Long Wheelbase,255861947817
2023,2023,All_Rural_VMT,Single Unit Trucks,50278892841
2023,2023,All_Rural_VMT,Combination Trucks,106865308746
2023,2023,All_Rural_VMT,All Light Duty Vehicles,839339929380
2023,2023,All_Rural_VMT,Single Unit and Combination Trucks,157144201587
2023,2022,All_Rural_VMT,Light Duty Vehicles Short Wheelbase,600159502561
2023,2022,All_Rural_VMT,Motorcycles,6691312658
2023,2022,All_Rural_VMT,Buses,6125092057
2023,2022,All_Rural_VMT,Light Duty Vehicles Long Wheelbase,253714215778
2023,2022,All_Rural_VMT,Single Unit Trucks,50898574025
2023,2022,All_Rural_VMT,Combination Trucks,108122060890
2023,2022,All_Rural_VMT,All Light Duty Vehicles,853873718338
2023,2022,All_Rural_VMT,Single Unit and Combination Trucks,159020634916
2023,2023,Interstate_Urban_VMT,Light Duty Vehicles Short Wheelbase,383567979995
2023,2023,Interstate_Urban_VMT,Motorcycles,2189129968
2023,2023,Interstate_Urban_VMT,Buses,2348191949
2023,2023,Interstate_Urban_VMT,Light Duty Vehicles Long Wheelbase,113349032938
2023,2023,Interstate_Urban_VMT,Single Unit Trucks,21451218314
2023,2023,Interstate_Urban_VMT,Combination Trucks,50896778825
2023,2023,Interstate_Urban_VMT,All Light Duty Vehicles,496917012933
2023,2023,Interstate_Urban_VMT,Single Unit and Combination Trucks,72347997140
2023,2022,Interstate_Urban_VMT,Light Duty Vehicles Short Wheelbase,378935440760
2023,2022,Interstate_Urban_VMT,Motorcycles,2841618431
2023,2022,Interstate_Urban_VMT,Buses,2623605807
2023,2022,Interstate_Urban_VMT,Light Duty Vehicles Long Wheelbase,104685754274
2023,2022,Interstate_Urban_VMT,Single Unit Trucks,20397309947
2023,2022,Interstate_Urban_VMT,Combination Trucks,49710248291
2023,2022,Interstate_Urban_VMT,All Light Duty Vehicles,483621195034
2023,2022,Interstate_Urban_VMT,Single Unit and Combination Trucks,70107558238
2023,2023,Other_Urban_VMT,Light Duty Vehicles Short Wheelbase,1206509518222
2023,2023,Other_Urban_VMT,Motorcycles,11963070861
2023,2023,Other_Urban_VMT,Buses,9305576738
2023,2023,Other_Urban_VMT,Light Duty Vehicles Long Wheelbase,336309987567
2023,2023,Other_Urban_VMT,Single Unit Trucks,62370496963
2023,2023,Other_Urban_VMT,Combination Trucks,37995707849
2023,2023,Other_Urban_VMT,All Light Duty Vehicles,1542819505789
2023,2023,Other_Urban_VMT,Single Unit and Combination Trucks,100366204812
2023,2022,Other_Urban_VMT,Light Duty Vehicles Short Wheelbase,1158710432502
2023,2022,Other_Urban_VMT,Motorcycles,14231931423
2023,2022,Other_Urban_VMT,Buses,9741466579
2023,2022,Other_Urban_VMT,Light Duty Vehicles Long Wheelbase,326458597591
2023,2022,Other_Urban_VMT,Single Unit Trucks,64927902893
2023,2022,Other_Urban_VMT,Combination Trucks,37216330201
2023,2022,Other_Urban_VMT,All Light Duty Vehicles,1485169030094
2023,2022,Other_Urban_VMT,Single Unit and Combination Trucks,102144233094
2023,2023,All_Urban_VMT,Light Duty Vehicles Short Wheelbase,1590077498217
2023,2023,All_Urban_VMT,Motorcycles,14152200829
2023,2023,All_Urban_VMT,Buses,11653768687
2023,2023,All_Urban_VMT,Light Duty Vehicles Long Wheelbase,449659020505
2023,2023,All_Urban_VMT,Single Unit Trucks,83821715277
2023,2023,All_Urban_VMT,Combination Trucks,88892486674
2023,2023,All_Urban_VMT,All Light Duty Vehicles,2039736518723
2023,2023,All_Urban_VMT,Single Unit and Combination Trucks,172714201952
2023,2022,All_Urban_VMT,Light Duty Vehicles Short Wheelbase,1537645873263
2023,2022,All_Urban_VMT,Motorcycles,17073549854
2023,2022,All_Urban_VMT,Buses,12365072385
2023,2022,All_Urban_VMT,Light Duty Vehicles Long Wheelbase,431144351865
2023,2022,All_Urban_VMT,Single Unit Trucks,85325212840
2023,2022,All_Urban_VMT,Combination Trucks,86926578492
2023,2022,All_Urban_VMT,All Light Duty Vehicles,1968790225128
2023,2022,All_Urban_VMT,Single Unit and Combination Trucks,172251791332
2023,2023,Total_VMT,Light Duty Vehicles Short Wheelbase,2173555479781
2023,2023,Total_VMT,Motorcycles,20181375905
2023,2023,Total_VMT,Buses,17700790403
2023,2023,Total_VMT,Light Duty Vehicles Long Wheelbase,705520968322
2023,2023,Total_VMT,Single Unit Trucks,134100608119
2023,2023,Total_VMT,Combination Trucks,195757795420
2023,2023,Total_VMT,All Light Duty Vehicles,2879076448103
2023,2023,Total_VMT,Single Unit and Combination Trucks,329858403539
2023,2022,Total_VMT,Light Duty Vehicles Short Wheelbase,2137805375824
2023,2022,Total_VMT,Motorcycles,23764862512
2023,2022,Total_VMT,Buses,18490164443
2023,2022,Total_VMT,Light Duty Vehicles Long Wheelbase,684858567643
2023,2022,Total_VMT,Single Unit Trucks,136223786866
2023,2022,Total_VMT,Combination Trucks,195048639383
2023,2022,Total_VMT,All Light Duty Vehicles,2822663943466
2023,2022,Total_VMT,Single Unit and Combination Trucks,331272426248
2023,2023,No._Vehicles_Registered,Light Duty Vehicles Short Wheelbase,197134299
2023,2023,No._Vehicles_Registered,Motorcycles,9516910
2023,2023,No._Vehicles_Registered,Buses,967525
2023,2023,No._Vehicles_Registered,Light Duty Vehicles Long Wheelbase,62103995
2023,2023,No._Vehicles_Registered,Single Unit Trucks,11567428
2023,2023,No._Vehicles_Registered,Combination Trucks,3324112
2023,2023,No._Vehicles_Registered,All Light Duty Vehicles,259238294
2023,2023,No._Vehicles_Registered,Single Unit and Combination Trucks,14891540
