Education Department Budget by Major Program,Presidents Budget 2012,Appropriation 2012,Presidents Budget 2013,Appropriation 2013,Presidents Budget 2014,Appropriation 2014,Presidents Budget 2015,Appropriation 2015,Presidents Budget 2016,Appropriation 2016,Presidents Budget 2017,Appropriation 2017,Presidents Budget 2018,Appropriation 2018,Presidents Budget 2019,Appropriation 2019
ESEA Title I Grants to Local Educational Agencies,"14,792,401","14,516,457","14,516,457","13,760,219","14,516,457","14,384,802","14,384,802","14,409,802","15,409,802","14,909,802","15,359,802","15,386,180","15,881,458","15,759,802","15,459,802","15,859,802"
Reading First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striving Readers,0,"159,698",0,"151,378",0,"158,000",0,"160,000","160,000","190,000","190,000","190,000",0,"190,000",0,"190,000"
High School Intervention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact Aid,"1,276,183","1,291,186","1,224,239","1,223,649","1,224,239","1,288,603","1,221,790","1,288,603","1,288,603","1,305,603","1,305,603","1,328,603","1,236,435","1,414,112","1,259,790","1,446,112"
Improving Teacher Quality State Grants,0,"2,466,567",0,"2,337,830",0,"2,349,830","2,000,000","2,349,830","2,349,830","2,349,830","2,250,000","2,044,411",0,"2,055,830",0,"2,055,830"
Mathematics and Science Partnerships,0,"149,716",0,"141,902","414,716","149,717","319,717","152,717","202,717","152,717",0,0,0,0,0,0
Educational Technology State Grants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21st Century Community Learning Centers,"1,266,166","1,151,673","1,151,673","1,091,564","1,251,673","1,149,370","1,149,370","1,151,673","1,151,673","1,166,673","1,000,000","1,191,673",0,"1,211,673",0,"1,221,673"
State Assessments,"420,000","389,214","389,214","368,900","389,214","378,000","378,000","378,000","403,000","378,000","403,000","369,100","377,281","378,000","369,100","378,000"
Indian Education,"127,282","130,779","130,779","123,939","130,779","123,939","123,939","123,939","173,939","123,939","174,939","164,939","143,665","180,239","164,939","180,239"
Teacher Incentive Fund,0,"299,433",0,"283,771",0,"288,771",0,"230,000","350,000","230,000","250,000","200,000","199,563","200,000",0,"200,000"
Choice Incentive Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safe and Drug-Free Schools and Communities State Grants,0,0,0,0,0,"90,000","214,000","70,000","90,000","75,000","90,000","68,000","74,857","90,000","43,000","95,000"
English Language Acquisition,"750,000","732,144","732,144","693,848","732,144","723,400","723,400","737,400","773,400","737,400","800,400","737,400","735,998","737,400","737,400","737,400"
Special Education,"12,861,351","12,638,713","12,657,307","11,980,472","12,657,307","12,497,300","12,600,627","12,522,358","12,822,358","12,976,858","13,066,858","13,001,315","12,942,126","13,366,184","13,051,776","13,468,728"
Career and technical education,"1,007,860","1,130,859","1,130,859","1,071,866","1,140,859","1,125,019","1,125,019","1,125,019","1,327,019","1,125,019","1,202,019","1,119,647","976,906","1,200,019","1,137,598","1,270,019"
Other,"8,171,378","2,304,954","1,827,229","2,129,997","2,114,357","2,508,226","10,070,586","2,416,605","6,224,220","2,444,438","7,022,902","2,057,051","1,854,513","2,884,962","2,520,749","3,016,762"
"Total, Elementary and Secondary","40,672,621","37,361,393","33,759,901","35,359,335","34,571,745","37,214,977","44,311,250","37,115,946","42,726,561","38,165,279","43,115,523","37,858,319","34,422,802","39,668,221","34,744,154","40,119,565"
